SIZES,CITY,jong,totwage
5,11,297,1011537
5,11,321,1024289
2,11,2,4810
5,11,326,2610554
1,11,5,16567
2,11,25,49825
3,11,26,39319
6,11,4894,21088720
6,11,3460,11657259
1,11,6,13070
1,11,2,3350
1,11,0,0
1,11,3,10453
2,11,16,47054
2,11,31,108557
2,11,6,11350
2,11,13,24233
2,11,12,33002
3,11,18,45144
3,11,15,36293
3,11,28,82732
2,11,9,16866
4,11,73,200946
6,11,200,652463
1,11,4,6200
1,11,4,6361
2,11,12,23900
3,11,50,136595
5,11,45,237088
1,11,2,6835
1,11,4,8713
2,11,38,368657
2,11,5,13137
2,11,4,11342
3,11,28,60380
3,11,46,373000
3,11,59,189861
4,11,224,779260
5,11,439,1885045
3,11,52,285158
6,11,1142,3708205
6,11,540,2165097
1,11,8,69388
2,11,7,48455
3,11,21,63305
3,11,59,185790
4,11,170,694334
4,11,174,621041
6,11,1175,7499107
6,11,136,492736
1,11,7,20025
1,11,4,10300
2,11,21,127497
2,11,29,216271
3,11,25,301845
3,11,40,214291
3,11,54,324676
3,11,47,217859
4,11,120,1393233
4,11,106,955567
4,11,235,1115942
4,11,190,2687623
4,11,152,1903325
4,11,143,1943423
4,11,163,776285
5,11,578,1916070
5,11,229,1296004
5,11,668,6078143
5,11,318,1757560
5,11,309,2193131
5,11,399,3813081
5,11,358,3309104
6,11,1418,11971092
6,11,532,13716897
6,11,576,2335210
6,11,551,2705715
1,11,4,5425
1,11,4,3922
2,11,21,25223
2,11,16,21817
2,11,6,9611
2,11,15,21721
2,11,7,13672
2,11,16,28037
2,11,1,2100
3,11,83,97167
3,11,54,56966
3,11,39,34551
3,11,26,41067
4,11,61,69388
4,11,128,131482
4,11,173,257717
4,11,126,166643
4,11,197,587008
5,11,695,4110933
6,11,1801,2210438
1,11,3,3546
2,11,9,23389
2,11,30,141602
2,11,12,28961
3,11,34,55258
3,11,33,54465
1,11,3,8930
1,11,4,8350
2,11,11,40416
2,11,19,51800
2,11,27,55028
3,11,15,42579
3,11,83,386945
3,11,46,161887
4,11,224,822428
4,11,92,444808
6,11,480,4722069
1,11,3,4450
1,11,17,63950
1,11,7,10500
2,11,8,16300
3,11,28,127456
4,11,182,701917
5,11,568,1802000
6,11,1016,5452970
5,11,295,810792
1,11,5,17487
1,11,9,22712
1,11,7,9950
2,11,9,13560
2,11,20,33098
3,11,99,100324
2,11,14,13840
3,11,17,22670
3,11,67,479384
4,11,107,67690
4,11,254,202415
4,11,86,82361
4,11,86,118924
3,11,40,97476
4,11,253,326614
5,11,448,639234
4,11,175,505327
5,11,110,177952
6,11,159,133967
1,11,0,0
1,11,0,0
2,11,1,1960
2,11,8,16983
2,11,24,46638
3,11,18,34196
3,11,30,68378
4,11,45,235701
1,11,2,3400
2,11,4,17000
3,11,13,74931
5,11,115,614856
6,11,266,970065
3,11,12,27979
1,11,5,13833
1,11,2,4499
1,11,3,15500
2,11,42,111660
2,11,12,41620
2,11,4,9530
2,11,28,55700
3,11,7,13500
3,11,13,31258
3,11,29,76753
4,11,239,691174
4,11,134,318074
4,11,119,396628
6,11,746,4266070
6,11,2982,17779443
6,11,1496,5318989
1,11,2,3500
1,11,11,24397
2,11,9,20800
2,11,3,4000
3,11,27,32645
1,11,5,16350
3,11,58,159478
2,11,28,55782
4,11,169,409670
1,11,3,7927
2,11,12,43082
2,11,12,74940
2,11,17,54412
3,11,26,135530
3,11,19,57846
4,11,85,556000
5,11,248,798792
1,11,4,4500
2,11,16,20900
2,11,22,37750
3,11,94,138314
6,11,266,901579
1,11,0,0
2,11,5,3700
3,11,42,123870
1,11,6,8693
3,11,55,138363
5,11,335,738593
1,11,9,44558
2,11,8,21064
4,11,95,691263
4,11,64,264583
3,11,33,111992
5,11,382,1027420
1,11,6,18329
2,11,22,79860
3,11,29,77286
4,11,124,468259
2,11,4,3768
4,11,87,125435
6,11,64,206520
