SIZES,CITY,jong,totwage,allocate,weight
1,11,19,77650,94,15.7226
1,11,2,2900,94,15.7226
1,11,8,9700,94,15.7226
1,11,15,31000,94,15.7226
1,11,7,10350,94,15.7226
1,11,21,58849,94,15.7226
1,11,10,23460,94,15.7226
1,11,1,900,94,15.7226
1,11,3,4000,94,15.7226
1,11,8,13000,94,15.7226
1,11,26,46934,94,15.7226
1,11,20,26400,94,15.7226
1,11,8,22816,94,15.7226
1,11,10,26101,94,15.7226
1,11,10,26373,94,15.7226
1,11,29,68243,94,15.7226
1,11,52,108758,94,15.7226
1,11,4,5700,94,15.7226
1,11,70,154857,94,15.7226
1,11,8,11600,94,15.7226
1,11,7,13744,94,15.7226
1,11,2,5817,94,15.7226
1,11,47,246115,94,15.7226
1,11,5,17314,94,15.7226
1,11,6,17048,94,15.7226
1,11,5,18753,94,15.7226
1,11,5,37400,94,15.7226
1,11,1,4319,94,15.7226
1,11,13,68080,94,15.7226
1,11,37,179846,94,15.7226
1,11,6,61753,94,15.7226
1,11,4,5420,94,15.7226
1,11,6,9801,94,15.7226
1,11,3,5200,94,15.7226
1,11,3,6538,94,15.7226
1,11,9,13744,94,15.7226
1,11,24,26301,94,15.7226
1,11,15,23584,94,15.7226
1,11,25,33422,94,15.7226
1,11,16,15728,94,15.7226
1,11,28,73165,94,15.7226
1,11,51,92113,94,15.7226
1,11,38,44664,94,15.7226
1,11,49,59115,94,15.7226
1,11,33,35532,94,15.7226
1,11,39,52270,94,15.7226
1,11,0,0,94,15.7226
1,11,11,23500,94,15.7226
1,11,51,244498,94,15.7226
1,11,1,5925,94,15.7226
1,11,12,36444,94,15.7226
1,11,5,10307,94,15.7226
1,11,1,1260,94,15.7226
1,11,3,5539,94,15.7226
1,11,0,0,94,15.7226
1,11,0,0,94,15.7226
1,11,2,3400,94,15.7226
1,11,0,0,94,15.7226
1,11,32,113193,94,15.7226
1,11,29,176616,94,15.7226
1,11,16,68717,94,15.7226
1,11,0,0,94,15.7226
1,11,1,5000,94,15.7226
1,11,3,7032,94,15.7226
1,11,16,81884,94,15.7226
1,11,0,0,94,15.7226
1,11,0,0,94,15.7226
1,11,10,24335,94,15.7226
1,11,19,36935,94,15.7226
1,11,31,75386,94,15.7226
1,11,8,17850,94,15.7226
1,11,28,75279,94,15.7226
1,11,4,5600,94,15.7226
1,11,5,17302,94,15.7226
1,11,16,30530,94,15.7226
1,11,24,52719,94,15.7226
1,11,32,52454,94,15.7226
1,11,34,74189,94,15.7226
1,11,4,5108,94,15.7226
1,11,7,9000,94,15.7226
1,11,15,34142,94,15.7226
1,11,8,19946,94,15.7226
1,11,18,36309,94,15.7226
1,11,8,13450,94,15.7226
1,11,26,47700,94,15.7226
1,11,36,58300,94,15.7226
1,11,4,6500,94,15.7226
1,11,5,15678,94,15.7226
1,11,0,0,94,15.7226
1,11,8,13108,94,15.7226
1,11,3,5132,94,15.7226
1,11,51,128880,94,15.7226
1,11,33,124138,94,15.7226
1,11,1,4133,94,15.7226
1,11,5,13821,94,15.7226
1,11,41,86780,94,15.7226
1,11,3,5600,94,15.7226
1,11,7,26899,94,15.7226
1,11,3,5050,94,15.7226
1,11,7,12586,94,15.7226
1,11,11,22417,94,15.7226
1,11,5,8500,94,15.7226
1,11,4,8110,94,15.7226
1,11,14,13640,94,15.7226
1,11,5,10950,94,15.7226
1,11,20,33582,94,15.7226
1,11,11,38204,94,15.7226
1,11,11,27580,94,15.7226
1,11,8,8130,94,15.7226
1,11,9,25485,94,15.7226
1,11,28,52066,94,15.7226
1,11,5,19123,94,15.7226
1,11,6,10841,94,15.7226
1,11,16,48987,94,15.7226
1,11,47,86836,94,15.7226
1,11,12,24534,94,15.7226
1,11,41,98420,94,15.7226
1,11,5,10488,94,15.7226
1,11,9,16247,94,15.7226
1,11,13,24819,94,15.7226
1,11,2,5045,94,15.7226
1,11,4,7595,94,15.7226
1,11,4,5450,94,15.7226
1,11,4,3600,94,15.7226
1,11,5,9500,94,15.7226
1,11,5,14000,94,15.7226
1,11,11,60975,94,15.7226
1,11,14,40750,94,15.7226
1,11,5,6384,94,15.7226
1,11,8,25010,94,15.7226
1,11,24,60348,94,15.7226
1,11,9,22296,94,15.7226
1,11,49,119367,94,15.7226
1,11,6,16081,94,15.7226
1,11,8,10200,94,15.7226
1,11,6,13250,94,15.7226
1,11,33,93860,94,15.7226
1,11,27,42533,94,15.7226
1,11,6,12153,94,15.7226
1,11,1,2154,94,15.7226
1,11,9,18079,94,15.7226
1,11,5,13000,94,15.7226
1,11,6,12000,94,15.7226
1,11,9,20513,94,15.7226
1,11,18,55792,94,15.7226
1,11,10,20750,94,15.7226
1,11,2,16755,94,15.7226
1,11,28,83967,94,15.7226
1,11,39,159233,94,15.7226
1,11,21,43598,94,15.7226
1,11,66,161530,94,15.7226
1,11,37,47281,94,15.7226
1,11,39,245349,94,15.7226
1,11,45,157428,94,15.7226
1,11,3,7700,94,15.7226
1,11,7,11601,94,15.7226
1,11,1,3000,94,15.7226
1,11,9,23793,94,15.7226
1,11,47,71364,94,15.7226
1,11,43,86552,94,15.7226
1,11,4,18058,94,15.7226
1,11,17,30400,94,15.7226
1,11,3,4000,94,15.7226
1,11,2,3699,94,15.7226
1,11,3,4200,94,15.7226
1,11,3,5974,94,15.7226
1,11,1,1800,94,15.7226
1,11,16,22878,94,15.7226
1,11,17,22536,94,15.7226
1,11,2,4000,94,15.7226
1,11,7,11000,94,15.7226
1,11,9,7700,94,15.7226
1,11,10,21237,94,15.7226
1,11,10,26456,94,15.7226
1,11,16,18850,94,15.7226
1,11,25,18700,94,15.7226
1,11,2,4810,94,15.7226
1,11,5,16567,94,15.7226
1,11,25,49825,94,15.7226
1,11,26,39319,94,15.7226
1,11,6,13070,94,15.7226
1,11,2,3350,94,15.7226
1,11,0,0,94,15.7226
1,11,3,10453,94,15.7226
1,11,16,47054,94,15.7226
1,11,31,108557,94,15.7226
1,11,6,11350,94,15.7226
1,11,13,24233,94,15.7226
1,11,12,33002,94,15.7226
1,11,18,45144,94,15.7226
1,11,15,36293,94,15.7226
1,11,28,82732,94,15.7226
1,11,9,16866,94,15.7226
1,11,4,6200,94,15.7226
1,11,4,6361,94,15.7226
1,11,12,23900,94,15.7226
1,11,50,136595,94,15.7226
1,11,2,6835,94,15.7226
1,11,4,8713,94,15.7226
1,11,38,368657,94,15.7226
1,11,5,13137,94,15.7226
1,11,4,11342,94,15.7226
1,11,28,60380,94,15.7226
1,11,46,373000,94,15.7226
1,11,59,189861,94,15.7226
1,11,52,285158,94,15.7226
1,11,8,69388,94,15.7226
1,11,7,48455,94,15.7226
1,11,21,63305,94,15.7226
1,11,59,185790,94,15.7226
1,11,7,20025,94,15.7226
1,11,4,10300,94,15.7226
1,11,21,127497,94,15.7226
1,11,29,216271,94,15.7226
1,11,25,301845,94,15.7226
1,11,40,214291,94,15.7226
1,11,54,324676,94,15.7226
1,11,47,217859,94,15.7226
1,11,4,5425,94,15.7226
1,11,4,3922,94,15.7226
1,11,21,25223,94,15.7226
1,11,16,21817,94,15.7226
1,11,6,9611,94,15.7226
1,11,15,21721,94,15.7226
1,11,7,13672,94,15.7226
1,11,16,28037,94,15.7226
1,11,1,2100,94,15.7226
1,11,83,97167,94,15.7226
1,11,54,56966,94,15.7226
1,11,39,34551,94,15.7226
1,11,26,41067,94,15.7226
1,11,3,3546,94,15.7226
1,11,9,23389,94,15.7226
1,11,30,141602,94,15.7226
1,11,12,28961,94,15.7226
1,11,34,55258,94,15.7226
1,11,33,54465,94,15.7226
1,11,3,8930,94,15.7226
1,11,4,8350,94,15.7226
1,11,11,40416,94,15.7226
1,11,19,51800,94,15.7226
1,11,27,55028,94,15.7226
1,11,15,42579,94,15.7226
1,11,83,386945,94,15.7226
1,11,46,161887,94,15.7226
1,11,3,4450,94,15.7226
1,11,17,63950,94,15.7226
1,11,7,10500,94,15.7226
1,11,8,16300,94,15.7226
1,11,28,127456,94,15.7226
1,11,5,17487,94,15.7226
1,11,9,22712,94,15.7226
1,11,7,9950,94,15.7226
1,11,9,13560,94,15.7226
1,11,20,33098,94,15.7226
1,11,99,100324,94,15.7226
1,11,14,13840,94,15.7226
1,11,17,22670,94,15.7226
1,11,67,479384,94,15.7226
1,11,40,97476,94,15.7226
1,11,0,0,94,15.7226
1,11,0,0,94,15.7226
1,11,1,1960,94,15.7226
1,11,8,16983,94,15.7226
1,11,24,46638,94,15.7226
1,11,18,34196,94,15.7226
1,11,30,68378,94,15.7226
1,11,2,3400,94,15.7226
1,11,4,17000,94,15.7226
1,11,13,74931,94,15.7226
1,11,12,27979,94,15.7226
1,11,5,13833,94,15.7226
1,11,2,4499,94,15.7226
1,11,3,15500,94,15.7226
1,11,42,111660,94,15.7226
1,11,12,41620,94,15.7226
1,11,4,9530,94,15.7226
1,11,28,55700,94,15.7226
1,11,7,13500,94,15.7226
1,11,13,31258,94,15.7226
1,11,29,76753,94,15.7226
1,11,2,3500,94,15.7226
1,11,11,24397,94,15.7226
1,11,9,20800,94,15.7226
1,11,3,4000,94,15.7226
1,11,27,32645,94,15.7226
1,11,5,16350,94,15.7226
1,11,58,159478,94,15.7226
1,11,28,55782,94,15.7226
1,11,3,7927,94,15.7226
1,11,12,43082,94,15.7226
1,11,12,74940,94,15.7226
1,11,17,54412,94,15.7226
1,11,26,135530,94,15.7226
1,11,19,57846,94,15.7226
1,11,4,4500,94,15.7226
1,11,16,20900,94,15.7226
1,11,22,37750,94,15.7226
1,11,94,138314,94,15.7226
1,11,0,0,94,15.7226
1,11,5,3700,94,15.7226
1,11,42,123870,94,15.7226
1,11,6,8693,94,15.7226
1,11,55,138363,94,15.7226
1,11,9,44558,94,15.7226
1,11,8,21064,94,15.7226
1,11,33,111992,94,15.7226
1,11,6,18329,94,15.7226
1,11,22,79860,94,15.7226
1,11,29,77286,94,15.7226
1,11,4,3768,94,15.7226
1,11,34,58619,94,15.7226
1,11,58,153063,94,15.7226
1,11,62,169064,94,15.7226
1,11,4,7316,94,15.7226
1,11,12,27616,94,15.7226
1,11,2,829,94,15.7226
1,11,25,57310,94,15.7226
1,11,3,5060,94,15.7226
1,11,3,7250,94,15.7226
1,11,14,48002,94,15.7226
1,11,5,15420,94,15.7226
1,11,4,9500,94,15.7226
1,11,6,19768,94,15.7226
1,11,9,19764,94,15.7226
1,11,16,39760,94,15.7226
1,11,8,15450,94,15.7226
1,11,7,12058,94,15.7226
1,11,11,28276,94,15.7226
1,11,30,62895,94,15.7226
1,11,3,5640,94,15.7226
1,11,25,45254,94,15.7226
1,11,58,131152,94,15.7226
1,11,13,31422,94,15.7226
1,11,49,179271,94,15.7226
1,11,7,12220,94,15.7226
1,11,9,15986,94,15.7226
1,11,10,47967,94,15.7226
1,11,3,8200,94,15.7226
